x,y,z,qw,qx,qy,qz
-0.324558,-0.458872,0.541914,0.2836731498880014,0.5854984678844306,-0.7568742161579176,0.06214908730578016
-0.32458782,-0.45906016,0.54175566,0.2827452848027324,0.5860297406083402,-0.756798732540985,0.06228904774277835
-0.32461764,-0.45924832,0.54159732,0.28181682732066643,0.5865597088313946,-0.7567229610239933,0.06242871193307584
-0.32464746,-0.45943648,0.54143898,0.28088777934546594,0.5870883716664014,-0.756646902266463,0.06256807939382243
-0.32467728,-0.45962464,0.54128064,0.27995814278212944,0.5876157282289832,-0.7565705569287609,0.06270714964345857
-0.3247071,-0.4598128,0.5411223,0.2790279195369877,0.5881417776375809,-0.7564939256720985,0.06284592220171592
-0.32473692,-0.46000096,0.54096396,0.2780971115176994,0.5886665190134551,-0.7564170091585296,0.06298439658961957
-0.32476674,-0.46018912,0.54080562,0.2771657206332471,0.589189951480689,-0.756339808050948,0.06312257232948934
-0.32479656,-0.46037728,0.54064728,0.2762337487939331,0.5897120741661886,-0.7562623230130843,0.0632604489449405
-0.3248263799999999,-0.46056544,0.54048894,0.2753011979113744,0.590232886199687,-0.7561845547095051,0.06339802596088608
-0.3248562,-0.4607536,0.5403306,0.2743680698984995,0.590752386713745,-0.7561065038056093,0.06353530290353808
-0.32488602,-0.46094176,0.54017226,0.27343436666954324,0.591270574843753,-0.7560281709676261,0.06367227930040872
-0.32491584,-0.4611299199999999,0.5400139199999999,0.27250009014004384,0.5917874497279343,-0.7559495568626133,0.0638089546803117
-0.3249456599999999,-0.4613180799999999,0.53985558,0.2715652422268369,0.5923030105073454,-0.7558706621584539,0.06394532857336384
-0.32497548,-0.4615062399999999,0.53969724,0.2706298248480524,0.5928172563258791,-0.7557914875238539,0.06408140051098672
-0.3250053,-0.4616943999999999,0.5395388999999999,0.26969383992311025,0.5933301863302665,-0.7557120336283409,0.06421717002590785
-0.32503512,-0.46188256,0.5393805599999999,0.2687572893727157,0.5938417996700779,-0.7556323011422609,0.06435263665216152
-0.32506056,-0.4620546,0.53924224,0.2678072798770959,0.5943108785158132,-0.7555992287261238,0.0643711586898978
-0.32507724,-0.4621943999999999,0.53914396,0.2668309314412397,0.5946961753888365,-0.7556597663608273,0.06415629748972895
-0.32509392,-0.4623342,0.53904568,0.26585404319339623,0.5950801086151942,-0.7557200438680514,0.06394143683342689
-0.3251105999999999,-0.462474,0.5389474,0.2648766171344266,0.5954626773945819,-0.7557800612367338,0.06372657657914273
-0.3251272799999999,-0.4626137999999999,0.53884912,0.2638986552663424,0.5958438809295854,-0.7558398184561368,0.06351171658505615
-0.32514396,-0.4627536,0.53875084,0.2629201595923011,0.5962237184256836,-0.7558993155158449,0.06329685670937713
-0.32516064,-0.4628933999999999,0.53865256,0.26194113211660186,0.59660218909125,-0.755958552405766,0.0630819968103457
-0.32517732,-0.4630332,0.5385542799999999,0.2609615748446816,0.5969792921375536,-0.7560175291161307,0.0628671367462325
-0.325194,-0.463173,0.5384559999999999,0.25998148978311003,0.5973550267787624,-0.7560762456374932,0.06265227637533988
-0.32521068,-0.4633127999999999,0.53835772,0.2590008789395867,0.5977293922319424,-0.7561347019607296,0.06243741555600128
-0.3252273599999999,-0.4634526,0.53825944,0.2580197443229356,0.5981023877170615,-0.7561928980770399,0.062222554146581954
-0.3252440399999999,-0.4635923999999999,0.53816116,0.25703808794310146,0.5984740124569904,-0.7562508339779455,0.062007692005480355
-0.32526072,-0.4637322,0.53806288,0.2560559118111456,0.5988442656775036,-0.7563085096552911,0.06179282899112726
-0.3252774,-0.4638719999999999,0.5379646,0.25507321793924187,0.5992131466072821,-0.7563659251012438,0.06157796496198696
-0.32529408,-0.4640118,0.53786632,0.2540900083406719,0.5995806544779138,-0.7564230803082929,0.06136309977655745
-0.32531076,-0.4641516,0.53776804,0.2531062850298209,0.5999467885238966,-0.7564799752692501,0.061148233293371254
-0.3253274399999999,-0.4642913999999999,0.53766976,0.25212205002217425,0.6003115479826387,-0.7565366099772495,0.06093336537099524
-0.3253351599999999,-0.4643839199999999,0.5376103600000001,0.2514376565553881,0.6005271244482443,-0.7566014738572469,0.06083163177902996
-0.3253383999999999,-0.4644528,0.5375704,0.2509032172363135,0.6006682049854972,-0.7566705224068456,0.060786541442322206
-0.32534164,-0.46452168,0.53753044,0.2503686142361617,0.6008088500257791,-0.7567395508601339,0.060741541799396476
-0.32534488,-0.46459056,0.53749048,0.2498338479123009,0.6009490594484919,-0.7568085591120283,0.06069663285621238
-0.3253481199999999,-0.46465944,0.53745052,0.24929891862219866,0.6010888331333344,-0.7568775470574337,0.06065181461861904
-0.32535136,-0.46472832,0.53741056,0.24876382672342132,0.6012281709602999,-0.7569465145912435,0.06060708709235481
-0.3253546,-0.4647971999999999,0.5373706,0.24822857257363426,0.6013670728096788,-0.7570154616083398,0.06056245028304759
-0.32535784,-0.46486608,0.53733064,0.24769315653060126,0.601505538562057,-0.7570843880035928,0.060517904196214625
-0.3253610799999999,-0.46493496,0.53729068,0.24715757895218438,0.601643568098316,-0.7571532936718619,0.06047344883726233
-0.32536432,-0.46500384,0.53725072,0.24662184019634364,0.6017811612996342,-0.7572221785079951,0.0604290842114867
-0.32536756,-0.46507272,0.53721076,0.24608594062113698,0.6019183180474857,-0.757291042406829,0.06038481032407286
-0.3253707999999999,-0.4651416,0.5371708,0.24554988058471974,0.6020550382236413,-0.7573598852631902,0.060340627180095335
-0.32537404,-0.46521048,0.53713084,0.24501366044534467,0.6021913217101676,-0.7574287069718932,0.060296534784517866
-0.32537728,-0.46527936,0.5370908799999999,0.24447728056136153,0.602327168389428,-0.7574975074277432,0.06025253314219345
-0.32538052,-0.46534824,0.53705092,0.24394074129121673,0.6024625781440827,-0.7575662865255335,0.06020862225786444
-0.3253837599999999,-0.46541712,0.5370109599999999,0.24340404299345342,0.6025975508570877,-0.7576350441600475,0.06016480213616229
-0.325387,-0.465486,0.536971,0.24286718602671092,0.6027320864116965,-0.7577037802260582,0.060121072781607804
-0.32539744,-0.46552452,0.5369062,0.24264936244547575,0.6027799020102851,-0.7577027032066883,0.06053338079566423
-0.32540788,-0.46556304,0.5368414,0.24243155385155676,0.60282764112869,-0.7577013919630918,0.06094569226395012
-0.32541832,-0.46560156,0.5367765999999999,0.24221376026965852,0.6028753037966861,-0.7576998464953029,0.06135800704944834
-0.32542876,-0.46564008,0.5367118,0.24199598172445705,0.6029228900440534,-0.7576980668034374,0.06177032501514418
-0.3254392,-0.4656786,0.536647,0.24177821824060003,0.6029703999005778,-0.7576960528876925,0.062182646024025234
-0.32544964,-0.46571712,0.5365822,0.24156046984270696,0.6030178333960522,-0.7576938047483476,0.06259496993908163
-0.32546008,-0.46575564,0.5365174,0.2413427365553688,0.6030651905602753,-0.7576913223857638,0.06300729662330597
-0.32547052,-0.46579416,0.5364526,0.24112501840314843,0.6031124714230518,-0.7576886058003837,0.06341962593969348
-0.32548096,-0.46583268,0.5363878,0.24090731541058003,0.6031596760141925,-0.757685654992732,0.06383195775124192
