x,y,z,vx,vy,vz,ax,ay,az,rx,ry,rz,vrx,vry,vrz,arx,ary,arz
-0.302652,-0.509068,0.554562,0.04736,-0.0166207,0.157815,0.0313882,0.16671,0.481904,2.92171,0.227007,-1.60881,-0.00445853,0.659786,-0.498904,-0.718791,-0.94351,-2.33328
-0.302829,-0.51032,0.559054,0.0349268,-0.0215263,0.195297,-0.00864766,0.151521,0.587397,2.9061,0.261663,-1.61733,-0.235865,0.911462,-0.599347,-1.47948,-0.223657,-2.54521
-0.303382,-0.510806,0.563417,0.0191375,-0.0170644,0.228049,-0.055907,0.151998,0.665108,2.89919,0.274957,-1.62859,-0.350004,0.875714,-0.71301,-1.82573,-0.260342,-2.69225
-0.30433,-0.510169,0.568102,0.000532348,-0.00250523,0.259947,-0.108175,0.171978,0.725226,2.89637,0.268233,-1.64296,-0.404124,0.625017,-0.819882,-1.91119,-0.836799,-2.7366
-0.305467,-0.508991,0.573333,-0.0180097,0.0135261,0.292186,-0.157571,0.194078,0.774509,2.89212,0.255653,-1.65497,-0.46289,0.365826,-0.855235,-1.93863,-1.40615,-2.57211
-0.306601,-0.508124,0.579014,-0.0340535,0.0221927,0.322324,-0.197545,0.200879,0.810959,2.88375,0.250901,-1.65836,-0.546267,0.25106,-0.768721,-1.98439,-1.60969,-2.12737
-0.307693,-0.507572,0.58463,-0.0474175,0.0246436,0.344079,-0.228078,0.196247,0.822893,2.87387,0.25631,-1.65581,-0.610844,0.265887,-0.604961,-1.95815,-1.53542,-1.52338
-0.308873,-0.506992,0.589503,-0.0597713,0.0265197,0.35129,-0.253923,0.196161,0.799038,2.86959,0.261279,-1.652,-0.579669,0.26141,-0.434006,-1.69869,-1.56289,-0.963949
-0.310215,-0.505841,0.593266,-0.0721028,0.0352977,0.342715,-0.278302,0.220233,0.738985,2.87612,0.257778,-1.65009,-0.413653,0.142794,-0.302159,-1.13126,-1.91222,-0.577905
-0.311742,-0.503686,0.596169,-0.0844459,0.0565151,0.323892,-0.301321,0.281631,0.657123,2.8931,0.239084,-1.65197,-0.142511,-0.139757,-0.238116,-0.340548,-2.66494,-0.435943
-0.313224,-0.499891,0.598745,-0.0944793,0.0952378,0.302844,-0.317735,0.387853,0.57382,2.91543,0.20819,-1.66115,0.15626,-0.535925,-0.275837,0.477288,-3.69744,-0.594359
-0.314581,-0.494946,0.60143,-0.101184,0.144977,0.285046,-0.323879,0.52147,0.501929,2.93623,0.176,-1.67558,0.401243,-0.912444,-0.391276,1.12448,-4.65115,-0.979235
-0.315737,-0.489168,0.60421,-0.104254,0.199717,0.269854,-0.319656,0.660788,0.438425,2.95446,0.146629,-1.69389,0.585681,-1.22253,-0.553346,1.58716,-5.37499,-1.45781
-0.316803,-0.483063,0.606821,-0.105001,0.252765,0.253839,-0.30808,0.786767,0.373694,2.97347,0.113925,-1.71174,0.751963,-1.5209,-0.705064,1.9782,-5.9702,-1.86124
-0.317939,-0.477095,0.609092,-0.105474,0.2983,0.234866,-0.295421,0.882573,0.301748,2.99562,0.0702568,-1.72641,0.930132,-1.88429,-0.808248,2.38884,-6.66719,-2.07011
-0.31909,-0.470887,0.61099,-0.105477,0.338742,0.212795,-0.282557,0.951817,0.222914,3.02011,0.0218951,-1.7412,1.11411,-2.26005,-0.887601,2.81328,-7.41477,-2.13685
-0.320263,-0.46458,0.612279,-0.104869,0.373007,0.186086,-0.268434,0.997868,0.135102,3.04808,-0.0274191,-1.75533,1.30932,-2.59324,-0.934997,3.24774,-8.02505,-2.08434
-0.321374,-0.458564,0.612742,-0.102989,0.397079,0.152913,-0.252085,1.01353,0.0328641,3.08116,-0.0778719,-1.76675,1.52996,-2.8783,-0.930216,3.73313,-8.46557,-1.89177
-0.32215,-0.452907,0.612097,-0.09761,0.410211,0.110835,-0.228367,0.997999,-0.0907242,3.12064,-0.126692,-1.77462,1.79108,-3.09947,-0.866342,4.32421,-8.7327,-1.55633
-0.322625,-0.447483,0.610824,-0.0888447,0.415309,0.0640116,-0.195042,0.963115,-0.22796,0.691392,-0.169025,-1.77945,-20.0317,-3.21269,-0.758095,-45.0182,-8.70823,-1.13812
-0.322695,-0.442553,0.608798,-0.0765501,0.411862,0.0135404,-0.153169,0.911763,-0.367862,-0.941785,-0.207628,-1.77977,-39.8833,-3.25396,-0.605315,-115.57,-8.4627,-0.660831
-0.322464,-0.438235,0.606181,-0.0614039,0.400959,-0.0383516,-0.102466,0.847159,-0.504914,-2.09386,-0.24367,-1.77577,-51.5897,-3.24996,-0.426213,-152.227,-8.08503,-0.169703
-0.321805,-0.434198,0.602846,-0.0428103,0.386226,-0.0916215,-0.043701,0.773728,-0.636793,-2.91028,-0.277432,-1.77122,-57.7286,-3.20122,-0.261104,-165.801,-7.56699,0.26764
-0.320633,-0.429881,0.599268,-0.0196129,0.374623,-0.141867,0.0268276,0.710136,-0.755743,-3.51003,-0.303694,-1.76925,-60.1929,-3.04656,-0.149941,-164.166,-6.75718,0.541774
-0.31925,-0.42542,0.596053,0.00512728,0.366044,-0.182403,0.100966,0.659152,-0.842552,-3.99259,-0.314382,-1.76782,-60.3496,-2.71262,-0.0724105,-153.07,-5.49641,0.70425
-0.317814,-0.421538,0.592992,0.0284021,0.352165,-0.213639,0.166296,0.596214,-0.892895,-4.43217,-0.319576,-1.76523,-59.0419,-2.31282,0.00528732,-136.432,-4.05539,0.883249
-0.315812,-0.418021,0.589506,0.0542703,0.334112,-0.241043,0.230683,0.519016,-0.923688,-4.89114,-0.328325,-1.76481,-56.7167,-1.95989,0.0563048,-116.742,-2.79008,1.01943
-0.313139,-0.414237,0.585909,0.0842715,0.318504,-0.263609,0.303014,0.44612,-0.94342,-5.44105,-0.337881,-1.76813,-53.6273,-1.65046,0.059269,-95.7829,-1.7777,1.01955
-0.31048,-0.409966,0.583043,0.111515,0.30804,-0.274035,0.368279,0.389728,-0.935857,-6.164,-0.342367,-1.77407,-49.8607,-1.33728,0.0278363,-75.0587,-0.886886,0.909119
-0.307967,-0.405402,0.580495,0.133435,0.301606,-0.276856,0.415056,0.351276,-0.907201,-4.67382,-0.337216,-1.78077,-23.1836,-0.966396,-0.0148619,-6.24644,0.103986,0.75347
-0.305984,-0.40084,0.578469,0.146003,0.296637,-0.271161,0.43327,0.323567,-0.857083,-3.64887,-0.324757,-1.78768,-5.27385,-0.549082,-0.0612949,38.4048,1.23799,0.58451
-0.304233,-0.396031,0.576697,0.152137,0.295003,-0.260302,0.429292,0.306332,-0.793267,-2.96077,-0.310832,-1.79759,6.31488,-0.16082,-0.136457,65.7614,2.2891,0.353683
-0.302418,-0.39096,0.575397,0.155525,0.29601,-0.243776,0.416068,0.296259,-0.718119,-2.51728,-0.295883,-1.8057,13.3806,0.176014,-0.195119,80.9113,3.15372,0.154021
-0.300905,-0.386207,0.574734,0.15494,0.294915,-0.221981,0.397534,0.284358,-0.633528,-2.25061,-0.282561,-1.80564,17.2481,0.446779,-0.175216,87.5656,3.83319,0.160071
-0.299745,-0.381778,0.574304,0.150159,0.292183,-0.198532,0.36986,0.268031,-0.543087,-2.10386,-0.276207,-1.80226,18.94,0.616007,-0.114489,88.5048,4.25364,0.343188
-0.298422,-0.376793,0.573521,0.144921,0.295032,-0.17761,0.337574,0.25913,-0.455539,-2.03421,-0.274277,-1.80457,19.2016,0.724751,-0.0957635,85.7837,4.48219,0.484618
-0.296917,-0.370725,0.572567,0.14001,0.307649,-0.15835,0.307921,0.271646,-0.377568,-2.01999,-0.267986,-1.81299,18.5049,0.85567,-0.134572,80.8116,4.67948,0.445405
-0.295858,-0.364272,0.571741,0.131733,0.323411,-0.140224,0.277856,0.297047,-0.313321,-2.04627,-0.257735,-1.82302,17.1969,0.995509,-0.195755,74.5697,4.84351,0.270498
-0.29526,-0.358343,0.57084,0.120174,0.332414,-0.12525,0.241535,0.308447,-0.262663,-2.09731,-0.245117,-1.83013,15.5629,1.10777,-0.230016,67.7527,4.89249,0.122225
-0.294568,-0.35277,0.569567,0.109847,0.335487,-0.115537,0.204448,0.301705,-0.227147,-2.15874,-0.232818,-1.83687,13.8197,1.17793,-0.252057,60.8606,4.86127,0.0260741
-0.292945,-0.346974,0.567821,0.109154,0.339483,-0.112624,0.190055,0.295727,-0.212529,-2.22155,-0.219253,-1.84237,12.1103,1.2468,-0.263438,54.2637,4.88781,-0.0473709
-0.290924,-0.34128,0.566375,0.113662,0.342665,-0.108949,0.194834,0.291003,-0.200166,-2.28524,-0.20924,-1.84258,10.4684,1.27888,-0.229804,48.0509,4.87522,-0.0094452
-0.28907,-0.336084,0.565215,0.11635,0.340424,-0.103224,0.19731,0.272378,-0.179281,-2.34547,-0.206266,-1.8408,8.94854,1.22087,-0.184529,42.3218,4.60021,0.0948352
-0.287268,-0.331332,0.563721,0.118735,0.333566,-0.101744,0.199,0.239816,-0.164788,-2.3947,-0.210248,-1.84502,7.63241,1.08115,-0.205287,37.2704,4.07815,0.0780202
-0.285108,-0.326477,0.561572,0.124391,0.326934,-0.106979,0.206322,0.203425,-0.164695,-2.43256,-0.213596,-1.8547,6.51724,0.942514,-0.275433,32.8982,3.51677,-0.0493015
-0.282571,-0.321283,0.559231,0.132406,0.322074,-0.112866,0.217489,0.170147,-0.166255,-2.46811,-0.207743,-1.86049,5.49706,0.899609,-0.289123,28.9335,3.19987,-0.0459536
-0.280444,-0.316468,0.55766,0.136184,0.313535,-0.110271,0.221313,0.134678,-0.149652,-2.50773,-0.198983,-1.85786,4.50484,0.901058,-0.202776,25.1782,3.07295,0.203085
-0.278609,-0.312,0.556949,0.137036,0.302668,-0.0982685,0.216418,0.0983556,-0.107878,-2.54743,-0.193044,-1.85304,3.57989,0.87441,-0.0900159,21.6826,2.90074,0.524907
-0.276453,-0.307552,0.556723,0.139987,0.292909,-0.0803437,0.211401,0.0663931,-0.0472275,-2.58074,-0.193385,-1.85146,2.78785,0.76217,-0.021904,18.6095,2.47645,0.70666
-0.274298,-0.303596,0.557008,0.141409,0.279074,-0.0572723,0.201282,0.0252566,0.0257893,-2.60978,-0.201405,-1.84645,2.10806,0.559893,0.0614366,15.9436,1.81476,0.872357
-0.272693,-0.30043,0.557476,0.135719,0.257903,-0.0338531,0.173941,-0.0351094,0.0959396,-2.63693,-0.212342,-1.83496,1.51016,0.337437,0.19555,13.597,1.12,1.16264
-0.270978,-0.296801,0.55736,0.130424,0.242386,-0.0191532,0.147747,-0.0835815,0.138497,-2.66065,-0.215951,-1.82471,0.998531,0.220339,0.314787,11.5498,0.734891,1.46686
-0.269217,-0.292359,0.557142,0.126384,0.238302,-0.00864316,0.129233,-0.0965317,0.162198,-2.68427,-0.212967,-1.81611,0.534156,0.20095,0.405291,9.70985,0.655698,1.6861
-0.267791,-0.287511,0.557417,0.119861,0.241393,0.00492183,0.107644,-0.0840627,0.190017,-2.7082,-0.210037,-1.80875,0.105557,0.195634,0.472347,8.03009,0.640758,1.82173
-0.266713,-0.282964,0.558107,0.109502,0.242252,0.0214966,0.074538,-0.0761244,0.226437,-2.73006,-0.213056,-1.80364,-0.254512,0.118078,0.500744,6.60686,0.411212,1.82469
-0.265955,-0.279304,0.558817,0.0958577,0.233471,0.0361148,0.0322746,-0.0960178,0.257616,-2.74916,-0.220089,-1.79762,-0.531003,-0.0142901,0.516155,5.48508,0.00776338,1.75504
-0.264681,-0.275923,0.55884,0.0884955,0.22153,0.0402118,0.00686281,-0.128687,0.259481,-2.7637,-0.222147,-1.78898,-0.71764,-0.0769964,0.553152,4.64009,-0.185558,1.76105
-0.262917,-0.272719,0.558152,0.0885863,0.20977,0.0336667,0.00646937,-0.159215,0.230769,-2.77493,-0.218312,-1.77442,-0.842658,-0.0411499,0.653427,3.9817,-0.0572238,1.95987
-0.261185,-0.269496,0.557216,0.089687,0.200178,0.0234011,0.0117489,-0.183565,0.192778,-2.78566,-0.211888,-1.75669,-0.942997,0.0328098,0.7832,3.41797,0.166757,2.25742
-0.259377,-0.265884,0.556364,0.0915334,0.195934,0.01474,0.0170195,-0.194446,0.162276,-2.79732,-0.202302,-1.74044,-1.03039,0.123296,0.875883,2.92261,0.383039,2.44402
-0.257129,-0.261961,0.555754,0.0971287,0.194965,0.0101389,0.0295376,-0.196378,0.145872,-2.80885,-0.190751,-1.72613,-1.0989,0.213912,0.928387,2.48755,0.584073,2.51169
-0.255073,-0.258919,0.555609,0.101275,0.184628,0.0106407,0.0418284,-0.218613,0.142696,-2.81935,-0.184799,-1.70925,-1.14455,0.248256,1.00579,2.11764,0.685899,2.64868
-0.253478,-0.256955,0.555666,0.101577,0.163705,0.012303,0.044835,-0.266626,0.142753,-2.82758,-0.184852,-1.69067,-1.15642,0.226453,1.10217,1.84848,0.637699,2.83888
-0.251935,-0.255261,0.555525,0.101465,0.142234,0.0115844,0.0420031,-0.315827,0.139332,-2.83783,-0.178978,-1.66833,-1.18285,0.261881,1.22877,1.56759,0.67021,3.07759
-0.249803,-0.252683,0.554784,0.105904,0.132642,0.00610949,0.044673,-0.334019,0.126883,-2.85078,-0.157973,-1.64325,-1.23763,0.438852,1.36794,1.21971,1.03384,3.32286
-0.247559,-0.249336,0.553965,0.110842,0.134322,0.000433954,0.0509058,-0.317118,0.109727,-2.86257,-0.138304,-1.62296,-1.27579,0.600789,1.43247,0.929937,1.44524,3.35476
-0.245883,-0.245763,0.553524,0.108938,0.139678,-0.0011165,0.0418573,-0.287739,0.0990857,-2.87219,-0.128574,-1.60936,-1.2795,0.641067,1.39991,0.768618,1.54352,3.10304
-0.244841,-0.242225,0.553373,0.100562,0.145756,-0.000276626,0.0173101,-0.255048,0.0930204,-2.87939,-0.127472,-1.60263,-1.24827,0.585828,1.28449,0.731026,1.36438,2.63031
-0.244093,-0.238739,0.553088,0.0891975,0.151542,-0.00145806,-0.0167838,-0.225215,0.0832155,-2.88482,-0.12687,-1.59946,-1.19011,0.512229,1.13138,0.791651,1.06481,2.05671
-0.243129,-0.235301,0.552156,0.0794966,0.157275,-0.00948711,-0.0487052,-0.197521,0.057875,-2.88643,-0.122477,-1.59635,-1.08735,0.467255,0.971986,0.977859,0.816378,1.45864
-0.242026,-0.231891,0.551032,0.0719804,0.1636,-0.0202964,-0.0705514,-0.170157,0.0230517,-2.88427,-0.123477,-1.59593,-0.942888,0.381318,0.786469,1.28185,0.534933,0.833538
-0.240588,-0.228117,0.550212,0.0699417,0.173863,-0.0281315,-0.0724103,-0.136828,-0.00357977,-2.88251,-0.125399,-1.59787,-0.800513,0.287727,0.584947,1.59084,0.225153,0.215458
-0.238369,-0.223603,0.549629,0.0774406,0.19021,-0.0323848,-0.0469701,-0.0925865,-0.0154483,-2.88365,-0.122315,-1.60258,-0.691442,0.239867,0.376095,1.79166,0.0202715,-0.360089
-0.235764,-0.219246,0.549465,0.0901207,0.203841,-0.0310594,-0.0048205,-0.0532788,-0.0086958,-2.88753,-0.123204,-1.60699,-0.619567,0.153979,0.189417,1.84866,-0.224317,-0.848313
-0.233508,-0.215815,0.54985,0.0989598,0.205573,-0.0220916,0.0268262,-0.0461687,0.0220068,-2.89381,-0.132734,-1.60904,-0.592843,-0.0196246,0.0608043,1.73036,-0.666161,-1.1341
-0.231712,-0.213187,0.550834,0.1032,0.197702,-0.00689515,0.0435152,-0.0664589,0.0678117,-2.90457,-0.142026,-1.60716,-0.629103,-0.164491,0.00603191,1.43057,-1.01031,-1.19595
-0.230007,-0.211108,0.551911,0.105998,0.18364,0.00944868,0.0496583,-0.105165,0.11713,-2.91606,-0.148989,-1.60474,-0.689983,-0.254711,-0.0169874,1.05686,-1.19402,-1.16173
-0.227655,-0.208954,0.552356,0.114583,0.170527,0.0192022,0.0647744,-0.142432,0.147269,-2.9256,-0.151826,-1.60261,-0.737614,-0.282434,-0.0289976,0.753607,-1.22131,-1.12351
-0.224541,-0.206606,0.55228,0.129972,0.160441,0.022257,0.0966665,-0.168536,0.151336,-2.93504,-0.155046,-1.59893,-0.779128,-0.308847,-0.0202881,0.540517,-1.25243,-1.0718
-0.221693,-0.204651,0.552582,0.141192,0.148297,0.0270057,0.120803,-0.193644,0.149798,-2.9507,-0.159625,-1.59081,-0.873419,-0.35245,0.0286813,0.259599,-1.34168,-0.950172
-0.21943,-0.203035,0.552725,0.14349,0.133402,0.028745,0.119983,-0.225697,0.139816,-2.97102,-0.154462,-1.57918,-1.00934,-0.291416,0.117107,-0.123403,-1.16349,-0.705994
-0.217409,-0.201678,0.551718,0.140771,0.116764,0.016939,0.10421,-0.26171,0.0954052,-2.98603,-0.145323,-1.56881,-1.07848,-0.171629,0.193914,-0.339275,-0.765139,-0.470436
-0.215512,-0.200763,0.549783,0.136243,0.0974925,-0.00714593,0.0866769,-0.301625,0.0152886,-2.99225,-0.14303,-1.55894,-1.02671,-0.113462,0.254933,-0.19041,-0.498463,-0.299308
-0.213454,-0.200137,0.547793,0.134745,0.0791222,-0.0337285,0.081505,-0.335493,-0.0716192,-2.99346,-0.144853,-1.54989,-0.893018,-0.10521,0.290251,0.220693,-0.427776,-0.217978
-0.211242,-0.199772,0.545728,0.136298,0.0610901,-0.05841,0.0865649,-0.369175,-0.140704,-2.99078,-0.150272,-1.541,-0.718494,-0.147422,0.31868,0.704362,-0.553193,-0.143776
-0.208951,-0.199618,0.543323,0.139397,0.0429661,-0.0834366,0.0948967,-0.405568,-0.20033,-2.98509,-0.156079,-1.53048,-0.523957,-0.20176,0.366353,1.19748,-0.742321,-0.00316781
-0.20691,-0.199274,0.540814,0.139112,0.0274348,-0.105416,0.0910756,-0.438471,-0.245268,-2.97719,-0.167703,-1.52304,-0.332243,-0.301128,0.397699,1.634,-1.00872,0.127361
-0.205264,-0.198596,0.538456,0.133222,0.0164814,-0.121186,0.0691547,-0.456619,-0.270371,-2.96843,-0.183783,-1.52125,-0.151813,-0.446155,0.368155,2.02724,-1.41749,0.0591247
-0.203871,-0.198146,0.536367,0.12477,0.00649689,-0.131231,0.0407216,-0.462994,-0.281696,-2.9619,-0.194178,-1.51785,-8.36454e-05,-0.546366,0.330355,2.356,-1.75177,-0.119262
-0.202214,-0.198083,0.534327,0.120204,-0.00412846,-0.138297,0.0234485,-0.467075,-0.28562,-2.95697,-0.194515,-1.51022,0.120698,-0.551026,0.323734,2.56339,-1.79123,-0.212976
-0.20054,-0.197741,0.532692,0.116487,-0.011271,-0.137978,0.00982384,-0.467303,-0.270349,-2.94917,-0.206282,-1.50979,0.228221,-0.635545,0.269713,2.64909,-1.84692,-0.317886
-0.199207,-0.196465,0.531624,0.108414,-0.00775707,-0.129098,-0.0157403,-0.440177,-0.234118,-2.93781,-0.239897,-1.52414,0.332463,-0.909082,0.0783812,2.71663,-2.35264,-0.774946
-0.198522,-0.194676,0.530681,0.0933138,0.00401839,-0.119453,-0.0583662,-0.383972,-0.201021,-2.92746,-0.272422,-1.54554,0.419926,-1.1774,-0.202826,2.82853,-3.01933,-1.58163
-0.198441,-0.192935,0.529343,0.0728662,0.018349,-0.116683,-0.112958,-0.317255,-0.191107,-2.9236,-0.28373,-1.56084,0.449357,-1.21665,-0.435031,2.85344,-3.1356,-2.31172
-0.198702,-0.191411,0.527904,0.050893,0.030908,-0.115819,-0.169511,-0.261585,-0.186103,-2.92361,-0.281772,-1.57255,0.420851,-1.07003,-0.597577,2.66826,-2.6069,-2.7259
-0.198975,-0.189377,0.52668,0.0316084,0.0463915,-0.11305,-0.216908,-0.210594,-0.17489,-2.91914,-0.293261,-1.59469,0.419589,-1.01338,-0.815249,2.50146,-2.17393,-3.13271
-0.199005,-0.187221,0.525288,0.0171172,0.0613836,-0.110968,-0.250584,-0.163994,-0.160704,-2.91114,-0.310012,-1.61929,0.452424,-1.02717,-1.03382,2.45706,-2.07353,-3.56786
-0.198972,-0.185937,0.523734,0.00490921,0.0666019,-0.110154,-0.276035,-0.141668,-0.149889,-2.90818,-0.313644,-1.63134,0.446352,-0.944726,-1.11489,2.37739,-1.87726,-3.69924
-0.199195,-0.185297,0.522367,-0.00809322,0.0640943,-0.108436,-0.299959,-0.14405,-0.140318,-2.9088,-0.310531,-1.63696,0.406595,-0.795658,-1.10575,2.19011,-1.43753,-3.51392
-0.199715,-0.184189,0.521306,-0.0219064,0.0642971,-0.104015,-0.32349,-0.146858,-0.123244,-2.90599,-0.318916,-1.65198,0.39169,-0.741871,-1.151,2.00612,-1.12215,-3.35569
-0.200107,-0.18332,0.520413,-0.0319899,0.0604904,-0.0969055,-0.336951,-0.157742,-0.0950931,-2.90496,-0.324924,-1.66375,0.34591,-0.650116,-1.1321,1.73938,-0.761226,-3.0779
-0.200228,-0.183679,0.51987,-0.0369936,0.043045,-0.0848427,-0.336583,-0.199261,-0.0524971,-2.91494,-0.309919,-1.6562,0.180124,-0.353375,-0.897959,1.18984,0.0239833,-2.32182
-0.200143,-0.184713,0.519964,-0.0378304,0.0189087,-0.0663685,-0.324354,-0.256785,0.00370005,-2.93271,-0.29023,-1.6389,-0.0590894,-0.0452276,-0.565572,0.455775,0.837231,-1.3164
-0.199938,-0.185336,0.520261,-0.0362024,0.00163514,-0.0472988,-0.30609,-0.293399,0.0585802,-2.94311,-0.289999,-1.63272,-0.209481,0.0283661,-0.370833,-0.0626654,1.08502,-0.670026
