timestamp,x,y,z,roll,pitch,yaw,vx,vy,vz,vroll,vpitch,vyaw,linear_velocity,angular_velocity,linear_acceleration,angular_acceleration
0.5,1.18722,0.855613,0,0,0,0,3.12602,1.05622,0,0,0,0,3.29964,0,7.28524,0
0.51,1.21251,0.862959,0,0,0,0,3.14808,0.989544,0,0,0,0,3.29994,0,6.74384,0
0.52,1.23792,0.869265,0,0,0,0,3.16751,0.927882,0,0,0,0,3.30062,0,6.18435,0
0.53,1.26351,0.874567,0,0,0,0,3.18327,0.870966,0,0,0,0,3.30027,0,5.64353,0
0.54,1.28929,0.878917,0,0,0,0,3.19445,0.818273,0,0,0,0,3.29758,0,5.16533,0
0.55,1.3153,0.882381,0,0,0,0,3.20029,0.769071,0,0,0,0,3.2914,0,4.79837,0
0.56,1.34156,0.885036,0,0,0,0,3.20027,0.722483,0,0,0,0,3.28081,0,4.58622,0
0.57,1.36806,0.886959,0,0,0,0,3.19417,0.677551,0,0,0,0,3.26524,0,4.55051,0
0.58,1.3948,0.888228,0,0,0,0,3.18209,0.633308,0,0,0,0,3.2445,0,4.67762,0
0.59,1.42176,0.888912,0,0,0,0,3.16445,0.588844,0,0,0,0,3.21877,0,4.92242,0
0.6,1.44887,0.88907,0,0,0,0,3.14205,0.54337,0,0,0,0,3.18868,0,5.22613,0
0.61,1.47609,0.888749,0,0,0,0,3.11594,0.496262,0,0,0,0,3.15521,0,5.53316,0
0.62,1.50334,0.887978,0,0,0,0,3.08746,0.447109,0,0,0,0,3.11966,0,5.79996,0
0.63,1.53053,0.886771,0,0,0,0,3.05808,0.395725,0,0,0,0,3.08357,0,5.99737,0
0.64,1.55756,0.885127,0,0,0,0,3.02936,0.342167,0,0,0,0,3.04863,0,6.11025,0
0.65,1.58437,0.88303,0,0,0,0,3.00284,0.286717,0,0,0,0,3.0165,0,6.13597,0
0.66,1.61085,0.880454,0,0,0,0,2.9799,0.229859,0,0,0,0,2.98875,0,6.08215,0
0.67,1.63694,0.877368,0,0,0,0,2.96169,0.172245,0,0,0,0,2.96669,0,5.96355,0
0.68,1.6626,0.873734,0,0,0,0,2.94905,0.114646,0,0,0,0,2.95128,0,5.79815,0
0.69,1.6878,0.869518,0,0,0,0,2.94243,0.0578936,0,0,0,0,2.943,0,5.60256,0
0.7,1.71252,0.864689,0,0,0,0,2.94185,0.00282647,0,0,0,0,2.94185,0,5.38784,0
0.71,1.73681,0.859224,0,0,0,0,2.94692,-0.0497694,0,0,0,0,2.94734,0,5.15688,0
0.72,1.76069,0.85311,0,0,0,0,2.95685,-0.0992145,0,0,0,0,2.95851,0,4.90448,0
0.73,1.78426,0.846349,0,0,0,0,2.9705,-0.144982,0,0,0,0,2.97404,0,4.62032,0
0.74,1.80759,0.83895,0,0,0,0,2.9865,-0.186735,0,0,0,0,2.99233,0,4.29405,0
0.75,1.83078,0.830937,0,0,0,0,3.00331,-0.224351,0,0,0,0,3.01167,0,3.92103,0
0.76,1.85394,0.822345,0,0,0,0,3.01937,-0.257934,0,0,0,0,3.03037,0,3.50796,0
0.77,1.87719,0.813215,0,0,0,0,3.03323,-0.287809,0,0,0,0,3.04685,0,3.07801,0
0.78,1.9006,0.803593,0,0,0,0,3.04363,-0.31451,0,0,0,0,3.05984,0,2.67594,0
0.79,1.92427,0.793529,0,0,0,0,3.04964,-0.338749,0,0,0,0,3.0684,0,2.36968,0
0.8,1.94824,0.783072,0,0,0,0,3.05069,-0.361375,0,0,0,0,3.07202,0,2.23395,0
0.81,1.97257,0.772266,0,0,0,0,3.04664,-0.383327,0,0,0,0,3.07066,0,2.30219,0
0.82,1.99725,0.761147,0,0,0,0,3.03779,-0.405576,0,0,0,0,3.06475,0,2.5336,0
0.83,2.02227,0.749744,0,0,0,0,3.02484,-0.429069,0,0,0,0,3.05512,0,2.85023,0
0.84,2.0476,0.738076,0,0,0,0,3.00882,-0.454671,0,0,0,0,3.04298,0,3.18715,0
0.85,2.07318,0.726151,0,0,0,0,2.99104,-0.483111,0,0,0,0,3.0298,0,3.50758,0
0.86,2.09893,0.713963,0,0,0,0,2.97291,-0.514936,0,0,0,0,3.01718,0,3.79843,0
0.87,2.12479,0.7015,0,0,0,0,2.95591,-0.550473,0,0,0,0,3.00673,0,4.0619,0
0.88,2.15066,0.688739,0,0,0,0,2.94139,-0.589806,0,0,0,0,2.99994,0,4.30684,0
0.89,2.17648,0.67565,0,0,0,0,2.93047,-0.632765,0,0,0,0,2.998,0,4.5405,0
0.9,2.20218,0.662197,0,0,0,0,2.92398,-0.678933,0,0,0,0,3.00177,0,4.76203,0
0.91,2.22772,0.648344,0,0,0,0,2.92237,-0.727661,0,0,0,0,3.0116,0,4.95955,0
0.92,2.25306,0.634054,0,0,0,0,2.92565,-0.778109,0,0,0,0,3.02735,0,5.11144,0
0.93,2.27821,0.61929,0,0,0,0,2.93343,-0.829289,0,0,0,0,3.0484,0,5.19071,0
0.94,2.30317,0.604022,0,0,0,0,2.94492,-0.880119,0,0,0,0,3.07363,0,5.17063,0
0.95,2.32798,0.588224,0,0,0,0,2.95901,-0.929488,0,0,0,0,3.10156,0,5.02997,0
0.96,2.35267,0.57188,0,0,0,0,2.97436,-0.976316,0,0,0,0,3.13049,0,4.75721,0
0.97,2.37731,0.554979,0,0,0,0,2.98948,-1.01962,0,0,0,0,3.15858,0,4.35338,0
0.98,2.40195,0.537522,0,0,0,0,3.0029,-1.05857,0,0,0,0,3.18402,0,3.83419,0
0.99,2.42665,0.519518,0,0,0,0,3.01326,-1.09253,0,0,0,0,3.2052,0,3.23225,0
1,2.45146,0.500984,0,0,0,0,3.01938,-1.12108,0,0,0,0,3.22079,0,2.60208,0
1.01,2.47643,0.481946,0,0,0,0,3.02043,-1.14407,0,0,0,0,3.22984,0,2.03255,0
1.02,2.50158,0.46244,0,0,0,0,3.01592,-1.16158,0,0,0,0,3.23188,0,1.66312,0
1.03,2.52692,0.442503,0,0,0,0,3.00579,-1.17394,0,0,0,0,3.2269,0,1.62494,0
1.04,2.55244,0.422184,0,0,0,0,2.99036,-1.18166,0,0,0,0,3.21537,0,1.86189,0
1.05,2.57811,0.401529,0,0,0,0,2.97036,-1.18542,0,0,0,0,3.19817,0,2.18706,0
1.06,2.6039,0.380591,0,0,0,0,2.94684,-1.18603,0,0,0,0,3.17656,0,2.46466,0
1.07,2.62974,0.359423,0,0,0,0,2.92108,-1.18433,0,0,0,0,3.15204,0,2.62622,0
1.08,2.65558,0.338076,0,0,0,0,2.89454,-1.18116,0,0,0,0,3.12626,0,2.6419,0
1.09,2.68134,0.316599,0,0,0,0,2.86871,-1.17732,0,0,0,0,3.1009,0,2.50487,0
