x,y,z,rx,ry,rz
-0.32455826,-0.45887184,0.5419143,2.8626534849759206,-0.5261253068889393,-1.7491837919096662
-0.3250600042756704,-0.4620393725929449,0.5392485436654049,2.886577199424606,-0.5024443012288344,-1.74288252574109
-0.3253340516754775,-0.4643461304461033,0.5376318340483157,2.903388861670122,-0.47119491243753564,-1.7424319602895488
-0.3253834023560568,-0.4654710366516076,0.536984080395252,2.9149561328297926,-0.45634197911243773,-1.7448839915096386
-0.32556054448578065,-0.46610485229693943,0.5358944929543867,2.931128093157439,-0.45992094288247604,-1.7469412732765344
-0.3257891648034594,-0.4661901383302458,0.533901171546155,2.9537888767109517,-0.47483010878928344,-1.7546662095813437
-0.3260576066310619,-0.46584375171796083,0.5311536519058248,2.9806493693258296,-0.48845794375243945,-1.7677736900190795
-0.3263437555165633,-0.46543641492586496,0.5284845828348418,3.0050347553588246,-0.49563864741598673,-1.779313688430342
-0.3266467095835826,-0.4656079318122768,0.5268767008161979,3.020199690875742,-0.49624886773647725,-1.782795795347798
-0.32682826043616614,-0.46675991943172046,0.52679022059772,3.0219301249983612,-0.48983514808592166,-1.7744899057538635
-0.3266964814424254,-0.4685751909981666,0.5279004331511018,3.0116966921613817,-0.47366902168732755,-1.7577559661178865
-0.32619522675573565,-0.4707526509366516,0.5297632355204328,2.9917094382563785,-0.4460632179349901,-1.735951788227386
-0.3253528861122231,-0.4733867994408972,0.5317615917462652,2.966566647837209,-0.4061616793855224,-1.7102726762012006
-0.3243048499299789,-0.4764872285660319,0.5334128477149822,2.938948727007409,-0.34894365256112814,-1.6846252802213504
-0.32314328089302186,-0.48012235958448146,0.5346900071690882,2.910438618198305,-0.277165720544288,-1.6616981656020562
-0.32187689078992343,-0.48441310818793665,0.5358308199030543,2.8833735628924604,-0.2021058979938446,-1.6388302361868816
-0.320419025055464,-0.4892896795838828,0.5371136357511032,2.858167003568749,-0.13089594085055026,-1.6133241971459653
-0.3188568216109684,-0.4944565555640689,0.538037710005611,2.8385105122513723,-0.06080735342731037,-1.5857569814739623
-0.3171914240445432,-0.49923455480951257,0.5384170095159563,2.8229558919327586,0.010985388395319724,-1.5610593324810567
-0.31575331270756296,-0.5029917346937746,0.5381813868897586,2.8119218938696804,0.07617014427996674,-1.5429414377613904
-0.3148354904714504,-0.5050737426281509,0.5377691231553241,2.8087702371059904,0.1190677892917323,-1.535894743550211
-0.31437872249751914,-0.5058709694765074,0.5377508098911106,2.8118826528194107,0.13484278588364426,-1.535621813369231
-0.3143469927917152,-0.5061993664821393,0.5379954832999755,2.8193205576993545,0.13302549165324876,-1.535220424656565
-0.31449822359433144,-0.5064500889451834,0.5382965630325498,2.826352489259467,0.13195506187904882,-1.5342805379552609
-0.31461049730719176,-0.5068828656543978,0.5382621690377274,2.8319135103246893,0.14396827640701834,-1.5330845304064922
-0.3145142909145004,-0.5078625991814506,0.5377825413518736,2.8361859017397753,0.17055768584128853,-1.5291382278255314
-0.31416432991417337,-0.5084261832846108,0.5373404345196869,2.841119268662036,0.19316112444930708,-1.5298785959992676
-0.31359554002674095,-0.507902931767224,0.5371995877484553,2.84922356120494,0.1974980280985457,-1.5397752638273834
-0.3128338738934084,-0.5065504753255774,0.5373333746446863,2.861574429196285,0.1806854603552358,-1.554820123279664
-0.3119523653408565,-0.50505945056549,0.5375811101418639,2.877106099995209,0.1520908892596397,-1.5675418734505249
-0.31102571176897514,-0.5040368813254054,0.5379831479791839,2.8914358383926704,0.12522745624934267,-1.5731443300053929
-0.3100192514138628,-0.5038686944940282,0.5385968770874252,2.9008323962487506,0.11399761245380333,-1.5716226258641992
-0.30888670547904645,-0.5048238774767083,0.539101064098183,2.9065398958070126,0.12400113558568439,-1.563211266689166
-0.30760112258135164,-0.5068084768868274,0.5392813437820813,2.911343463398687,0.15309986079405966,-1.551050676448895
-0.3063361273045555,-0.5088146071518054,0.5392009646117001,2.919023643056874,0.18454226995576836,-1.543517387802487
-0.30529082708580274,-0.5099674559299066,0.5391754906434325,2.9309892138497644,0.20178015952703202,-1.5455881664172304
-0.30451346139004914,-0.5101941081531006,0.5398072840876418,2.943447493516273,0.20310425242672078,-1.555613828781524
-0.3039289784198997,-0.5096672045748287,0.5417054849523257,2.9496820347359565,0.1993922589188528,-1.5701781859192416
-0.30345087610415705,-0.5087782525480634,0.5450053210874963,2.9458252482177865,0.19978585665810406,-1.5868520227754428
-0.3030706356237933,-0.5080356014498766,0.5493215447733247,2.933523375135909,0.20806343427373583,-1.6033740526908755
-0.30287493908195723,-0.5078870274291716,0.5540085783003511,2.918409847529645,0.2223695809596459,-1.6168988282503869
-0.30292807989724635,-0.5081595430866743,0.5585025821852184,2.907139451858425,0.23444764523556566,-1.6264616681314341
-0.30322222016379263,-0.5086515665363879,0.5627063271382248,2.9009700196751593,0.24310691038790153,-1.6316094671137489
-0.303712783970972,-0.5091117735354753,0.5667681969504985,2.897851465416605,0.25049006600313783,-1.634198132110799
-0.3043201187303838,-0.5093446379283446,0.5708290070156559,2.8962970986963157,0.25753900743933505,-1.635781791683708
-0.3050217313398523,-0.5093723808544077,0.5749400701705786,2.896122094941184,0.2623846750795332,-1.6356180438260657
-0.30583395892197923,-0.5090294782952177,0.5791015012203273,2.897271279014206,0.2632603638344853,-1.635733301589069
-0.30680506002562125,-0.5080567210883922,0.5832481172954124,2.90045961549855,0.25858028759079527,-1.638114893967298
-0.3079290760972471,-0.5061883256428295,0.5872914080337021,2.9063631243705412,0.2483490633518001,-1.644485984113761
-0.30920195273138773,-0.5034207550951012,0.5912698364748182,2.9147303481018945,0.23056972565312905,-1.6551760282823427
-0.31048330534244967,-0.49961421846677917,0.5952120703785561,2.9246844833626437,0.20744070892578273,-1.6710566687078843
-0.31175463451242846,-0.4951335913213882,0.5990530230877674,2.935459581126987,0.18225173291218932,-1.689331537136898
-0.31295213582437315,-0.4901815109474874,0.6026749725988495,2.947409833967416,0.157754344633262,-1.7078625207229587
-0.3141435552986313,-0.4850710803515049,0.6059485699572362,2.961981557953867,0.13062509465713332,-1.7238674120935886
-0.3154095687800785,-0.48011215961683695,0.6088410345410126,2.9800249197269335,0.09531989698428897,-1.7358118869833805
-0.31668433661153084,-0.47506998146933577,0.6113806741366861,3.0005871722674793,0.0560573017770341,-1.745417480562665
-0.31798717876178917,-0.4699873957703433,0.6133881866659234,3.024436201558736,0.015105723979166309,-1.7533439479850013
-0.31929314029797473,-0.46502648306303906,0.6146360772415568,3.053538559107677,-0.028872964135216592,-1.7592892280077588
-0.32037451644067844,-0.460025317220153,0.6148132453973072,3.089664135243263,-0.07352911177599497,-1.7640716170529085
-0.3212700179768163,-0.4548306613108281,0.6143870164833247,0.9685617630940123,-0.11659047343230969,-1.7687999302645516
-0.3217809653562573,-0.4494673553909516,0.6133305586027574,-0.5385875906045021,-0.15889874272442017,-1.7736325915492064
-0.3219805468485641,-0.44427523145275777,0.6117822389812473,-1.6006967898711224,-0.19874171672094684,-1.777006784979474
-0.3217038641489401,-0.4390879711857443,0.6095844682175761,-2.3389398175960396,-0.23350497072168147,-1.7807943962113015
-0.3209310793774033,-0.433638624618299,0.6070784578852718,-2.844332646373965,-0.26108483760087087,-1.7855663176700018
-0.32001465876869534,-0.4283043138788753,0.6048200423196278,-3.186344286485914,-0.279685091552002,-1.7880854023152666
-0.3190732283326108,-0.4235211361655069,0.6027283385035573,-3.409124501607573,-0.2950018830566354,-1.788059744567747
-0.31771704745622487,-0.41914409140183895,0.6001926264415436,-3.538723343200294,-0.3135578115976838,-1.7888741087580908
-0.3158626703413792,-0.4147669865031056,0.5972840005349512,-3.6000817778216243,-0.3350127108661297,-1.7916058570144364
-0.3139359509193617,-0.4100448483610834,0.5944192370794704,-3.617395697427122,-0.3529277657048397,-1.7959511726566515
-0.31212684363741844,-0.4049721389587634,0.5916259430827365,-3.6068867184281816,-0.36162056716663576,-1.801243685052205
-0.31061854470035816,-0.3997823252343909,0.5890293261075953,-3.5797420414558396,-0.36416577229278224,-1.8072196525382012
-0.3092348555366379,-0.39455328748062335,0.5864895801216155,-3.5405219452917103,-0.3647701943724392,-1.8148324344124132
-0.30756053903835323,-0.389123902178762,0.5839915754513366,-3.4938710154437946,-0.36194279856163636,-1.8215752788919513
-0.3058463442965529,-0.3837109962877496,0.5819144560776905,-3.446336637073686,-0.3559198348282345,-1.8225139984648213
-0.3044399040883042,-0.3786241284869064,0.5804141900942112,-3.4003291638847,-0.3490715160852574,-1.8186676004290965
-0.30303078724949345,-0.3735373475537132,0.5789564719869152,-3.3512535532054506,-0.34379748582916403,-1.8171450837180545
