x,y,z,rx,ry,rz,vx,vy,vz,vrx,vry,vrz,ax,ay,az,arx,ary,arz
-0.32455826,-0.45887184,0.5419143,2.8626534849759206,-0.5261253068889393,-1.7491837919096662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3250571760197548,-0.46202151769508526,0.5392635701270675,2.8864423450970276,-0.5025777874440093,-1.7429180450169066,-0.021450193438571494,-0.13541596812612977,-0.11396440738812644,1.022768624530502,1.0123925211711917,0.26938698611616363,-0.00053599678223503,-0.0033837700991698224,-0.0028477391508981123,0.025556911329924343,0.025297633574287527,0.0067314338282197
-0.32533128113907045,-0.4643286399339142,0.5376465538474954,2.903256759471678,-0.47132567444423756,-1.7424667546821855,-0.018719108199627278,-0.13710442497845635,-0.10472930950929948,1.0154714513914884,1.4846918795825563,0.13690340897695166,-0.00039581804357603073,-0.0034672659611656507,-0.0023728454334917544,0.025161798141598805,0.049438793463760455,-5.213618841686061e-05
-0.32538068953915816,-0.46545391052508917,0.5369984935319488,2.9148267827604823,-0.4564700169106667,-1.744918061019095,-0.012304583289612224,-0.10879423850730847,-0.0779296142783279,0.8848923813164942,1.2435652795508088,0.021184165149871204,0.0003782731151095325,-4.739658848285479e-05,0.0008627294148916922,0.009369428674847045,0.020270712194962563,-0.014002435312226606
-0.32555788938839053,-0.46608809055609157,0.5359085994286006,2.931001495217263,-0.460046256472232,-1.746974617902811,-0.011763734837426341,-0.08614331151493249,-0.07390360162903989,0.912429019374327,0.7769621588937681,-0.025304650993731206,0.000522822431699576,0.006077994050120038,0.0019475400873646244,0.016773553578222647,-0.10599767749059333,-0.02651065504567978
-0.3257860915210485,-0.46619330841769674,0.5339260396404205,2.95355688093865,-0.47454887395637124,-1.7545929597747554,-0.012264414371816515,-0.06501539958078514,-0.08574873968714385,1.0288732595022636,0.3413155935373635,-0.1394918632615277,0.0002482506935997868,0.017411700391355787,-0.004454689472932947,0.07938831902291915,-0.33986644294052076,-0.0878213691416303
-0.326053622059776,-0.4658686090218704,0.5311980782322121,2.9802745320965034,-0.4878892294258941,-1.7675378529469055,-0.013115670161058867,-0.045684535306036056,-0.10340535072727411,1.1596568847955444,0.07856845879069502,-0.28462463394736426,-0.0005663434252124329,0.035544198260578384,-0.021198440096863398,0.20267400636575333,-0.5846872176760918,-0.22463795221635968
-0.3263387965691311,-0.46547902071865827,0.5285428600290584,3.0045891645290714,-0.4949505042451704,-1.7789767027694443,-0.013925124908247034,-0.031304946690306895,-0.11493280367369617,1.222690306894011,-0.030900083200376335,-0.36853583995704486,-0.001772363499700336,0.05632831844966017,-0.03804341462602878,0.2926044389398249,-0.7350203323354166,-0.3454897081515176
-0.32664185971090653,-0.46564968737120443,0.526933733542014,3.019763682377215,-0.4955748931383818,-1.7824657546864062,-0.014736768804258829,-0.02657060153346011,-0.11212023615037613,1.1695789976775661,-0.04323115573303474,-0.34442589188457057,-0.0034636884463783084,0.06453628963204625,-0.03058998371722515,0.1672035049199865,-0.7351949213489233,-0.2808990056805203
-0.32682457540594984,-0.4667890013070692,0.526816936608073,3.021792812140978,-0.48929462757187225,-1.774396187843674,-0.014130244813556327,-0.03288848701178185,-0.09422455722420407,0.9890877155787899,0.018959400015441302,-0.20395924452450973,-0.0015753636561094547,0.04351819970959621,0.021732896282523645,-0.35381613215935837,-0.5235673258314764,0.1317261337229148
-0.32669888924260454,-0.46858276014948597,0.5278828345891856,3.0119976220213007,-0.4734015430860586,-1.7579926538816464,-0.01047473595615811,-0.044914175377486765,-0.06703636623304238,0.7159705659402447,0.16966185439934095,-0.00021352142670350016,0.011186492265851512,-0.000679711475113462,0.11471798602879113,-1.2800637192421558,0.02904930451439114,0.8303464388252524
-0.32620860572007954,-0.4707366569764408,0.5296976712202311,2.992521306857184,-0.44620744277418367,-1.736536894389085,-0.0036015672595123387,-0.05909146837245022,-0.0357268155939945,0.37979688858006533,0.41573978796279987,0.22879152090263088,0.037745514078614845,-0.05694552738594754,0.23148229562265926,-2.5305743443234707,1.0045236083049718,1.6849643446645919
-0.3253805902320797,-0.4733443857611742,0.5316559357660903,2.9678655171255905,-0.4068387146147084,-1.711195795027697,0.005926528082060583,-0.0763200855411636,-0.006450333390255407,0.02881376069003727,0.7580821973567156,0.4715259686075125,0.07631153770884691,-0.1274968595449541,0.3416393841487955,-3.868865069939906,2.415592931706509,2.6152104022995077
-0.3243471483668125,-0.476416376774451,0.5332821712771474,2.9406622040485066,-0.35032514968203426,-1.68580776820107,0.01655167936198552,-0.0964850576952108,0.016312077050778435,-0.31043764574854077,1.2390823579080135,0.6888652126097722,0.11892943584231644,-0.20969550148871258,0.41941095272318785,-5.120844928181612,4.423808183349041,3.406906203171907
-0.323198606185171,-0.48002084506242726,0.5345475772258208,2.9124734367362395,-0.27933362034591497,-1.6630266147331123,0.02723243368504078,-0.11996729949243341,0.032804750732287856,-0.6223889503791775,1.8180249665810764,0.8556479106887191,0.15948565417037844,-0.3028840900983869,0.46371523565092737,-6.177359759302908,6.779303809711873,3.9197730049156285
-0.3219435631184216,-0.48427772877824066,0.5356838680993843,2.8856086666922036,-0.20492792100188795,-1.6402522472878638,0.037811329462119396,-0.14754043125311547,0.045872789352787144,-0.8843027767492543,2.369887737038436,1.002005205856599,0.19654969639716224,-0.40828629009509876,0.48870028920136854,-6.921175862650379,8.832941719010169,4.298928542382035
-0.32049686494293783,-0.48911959441356534,0.536963669653208,2.8604922200063045,-0.13413495635869793,-1.6148387768461374,0.04908394046236478,-0.17791524602171363,0.05855093149515695,-1.0950726059053326,2.8217718101774407,1.155893603141054,0.2336003834173393,-0.5174909947814033,0.5097032172393577,-7.363261354914911,10.244530991478296,4.679960933627611
-0.3189440437225381,-0.4942565403913828,0.5378942803620167,2.8407727003291545,-0.06430583804269545,-1.587351717933377,0.060037573713986686,-0.20764944965431356,0.06587953939848974,-1.2222735659891628,3.207413126118067,1.3100155613818203,0.26568965513517495,-0.6134337179286832,0.504401682194271,-7.383622821645404,11.221254782829511,5.025940755219784
-0.31728637070027566,-0.4990201990194794,0.5382909746462343,2.8250530959524864,0.007315593186496114,-1.5626412504311253,0.07062556449202366,-0.22996796967429778,0.06662446971615506,-1.288943750668854,3.559379810207232,1.4154232708142767,0.2929815193220127,-0.6670204017869149,0.4704553171444159,-7.133779303691913,11.95206678323056,5.121828362812196
-0.3158490375756218,-0.502786551410763,0.5380826574520665,2.813764671399002,0.07254218895450579,-1.5443724586878222,0.07765570049474818,-0.2395291410609795,0.060929690437994295,-1.298456737681141,3.8000818055206382,1.4417867420413815,0.30221672936861244,-0.6603284012240983,0.4122351959757755,-6.663296770684405,12.130571491084247,4.868054540260632
-0.314921370454277,-0.5049079268896973,0.5376983464705902,2.810231603265896,0.11591759135618432,-1.536987924953197,0.07876984344186029,-0.2316921286759737,0.05381057133322144,-1.2267665459063346,3.7944461121598487,1.3566130311003335,0.2858797196191271,-0.5818564746119628,0.3539732885724697,-5.902231418002264,11.265112485013997,4.175443932209577
-0.3144470135962364,-0.5057626956797192,0.5376987703268311,2.8128879322548648,0.13260767902421852,-1.5362968416407672,0.07527485317616457,-0.21234972682503916,0.05081652388509966,-1.1001386297668576,3.529653224892625,1.2145905238009278,0.25262604622966534,-0.46494029345789345,0.3181673084360306,-4.99637916243339,9.443150102371458,3.323481000797866
-0.3143920086507846,-0.5061496155862758,0.537956514446557,2.8198442388401754,0.13190209142072057,-1.5355294738654302,0.0681281813975822,-0.1905086838288763,0.05029306382277195,-0.9443791410448412,3.127356258167709,1.0865867224856196,0.20845971079129977,-0.3498683733620982,0.2955097713958629,-4.066812372237535,7.266615110292401,2.6102806612735043
-0.31451946746855675,-0.5064525967070297,0.538269272531158,2.826456762436921,0.13179080802796755,-1.5342774588171675,0.05999360924723693,-0.17009377988116078,0.050127609224757404,-0.8062260966857004,2.77002135638656,0.975349016946635,0.16486484886858452,-0.25130670281927314,0.27639299441005355,-3.2934719945568816,5.4699117863379305,2.0291771592374914
-0.3146114820441047,-0.5069275526760686,0.5382518761147063,2.8316720839565357,0.14441957861620336,-1.5328125056051276,0.052962152579599416,-0.15327438146186967,0.04691606154421951,-0.693483529514528,2.5603209451724336,0.8769492580391894,0.12939933147695465,-0.1751191085653113,0.24803967733680485,-2.6855269929631067,4.3787847090803655,1.549666905977993
-0.314501000070591,-0.5079344650371785,0.5377954466726684,2.8356606610698853,0.17130470088054128,-1.5286779286668075,0.04835480721879124,-0.14273695754794205,0.04015484872271316,-0.6019712953512538,2.492960002283258,0.8112158672537852,0.10570093612665216,-0.12797431840972134,0.20986716112930273,-2.2080870133790813,3.8870862061891924,1.2288726153469234
-0.314142703418425,-0.5085286158852492,0.5373734370046225,2.84033180718106,0.19424504788105998,-1.529173910814437,0.04625544973917354,-0.12981504454765885,0.034295176039620553,-0.5134057839845578,2.3978163506170493,0.7132100069301807,0.09262513968229225,-0.07698967372367893,0.17817719334961574,-1.7835192861817943,3.345472644818042,0.8276043256774103
-0.3135700916788603,-0.5080499675562447,0.5372454240993068,2.8481515572669993,0.1991939468552598,-1.5387044504467884,0.0460782140386232,-0.10947817931064323,0.03136173521293207,-0.4076519229427267,2.1644350731678204,0.5515256981626513,0.08698766501563561,-0.006168523623618832,0.15884042011905103,-1.3397274373177637,2.398333772495527,0.2527884920360831
-0.3128080367465686,-0.5067493592967113,0.5373862145929365,2.860182584625975,0.18327265802898057,-1.5533504067531847,0.047384860565669935,-0.08471591322454528,0.030795919507008346,-0.27876444396015565,1.7881868494028312,0.36585122310203433,0.08653375486629332,0.07267657728054551,0.14865176739243927,-0.8602331214988758,1.078533052572975,-0.3493294747647191
