timestamp,x_integrated,y_integrated,z_integrated,rx_integrated,ry_integrated,rz_integrated,x_actual,y_actual,z_actual,rx_actual,ry_actual,rz_actual,x_error,y_error,z_error,rx_error,ry_error,rz_error
0.0,-0.324558,-0.458872,0.541914,2.86265,-0.526125,-1.74918,-0.324558,-0.458872,0.541914,2.86265,-0.526125,-1.74918,0.0,0.0,0.0,0.0,0.0,0.0
0.016666666666666666,-0.32492337833333335,-0.46117865,0.53997275,2.8800716666666664,-0.50888,-1.7445913,-0.325055,-0.462008,0.539275,2.88634,-0.502676,-1.74294,0.000131621666666637,0.000829349999999951,0.0006977500000000525,-0.006268333333333764,-0.006203999999999987,-0.0016513000000000222
0.03333333333333333,-0.3252407916666667,-0.46350518333333335,0.5381964166666666,2.8973016666666664,-0.4836506666666667,-1.7422787166666667,-0.325333,-0.464338,0.537637,2.90333,-0.471338,-1.74242,9.220833333328793e-05,0.0008328166666666248,0.0005594166666665901,-0.006028333333333524,-0.012312666666666694,0.00014128333333340848
0.05,-0.3254460316666667,-0.4653351333333334,0.5368899666666667,2.9122185333333332,-0.4626186666666667,-1.7419877,-0.325387,-0.465486,0.536971,2.91503,-0.456174,-1.74484,-5.9031666666709004e-05,0.00015086666666663806,-8.103333333331353e-05,-0.00281146666666654,-0.006444666666666654,0.00285230000000003
0.06666666666666667,-0.3256393266666667,-0.46674520333333336,0.5356659833333334,2.927572983333333,-0.45010218333333335,-1.742572885,-0.325561,-0.466128,0.535891,2.93113,-0.459371,-1.74693,-7.832666666668375e-05,-0.0006172033333333715,-0.00022501666666663311,-0.003557016666666968,0.009268816666666624,0.0043571150000001335
0.08333333333333333,-0.32584129833333336,-0.467718895,0.5342134416666667,2.9452236499999995,-0.4465226166666667,-1.7454645516666667,-0.325785,-0.466215,0.533933,2.95359,-0.474119,-1.75456,-5.629833333337109e-05,-0.0015038950000000328,0.000280441666666742,-0.008366350000000633,0.027596383333333308,0.0090954483333332
0.1,-0.32606264833333337,-0.46822440000000004,0.5323495583333334,2.9659531499999994,-0.4494523166666667,-1.7517906183333334,-0.326052,-0.465808,0.531182,2.98062,-0.489007,-1.7679,-1.0648333333362903e-05,-0.0024164000000000407,0.0011675583333333739,-0.014666850000000675,0.03955468333333334,0.016109381666666645
0.11666666666666667,-0.3263067066666667,-0.4683184825,0.5301571250000001,2.988505483333333,-0.4556856166666667,-1.7605271683333334,-0.326342,-0.465253,0.528415,3.00579,-0.498341,-1.78035,3.5293333333297205e-05,-0.003065482499999994,0.0017421250000001498,-0.017284516666667304,0.0426553833333333,0.01982283166666665
0.13333333333333333,-0.3265766283333334,-0.4682699221666667,0.5280515083333335,3.009360983333333,-0.46215215000000004,-1.7684772850000001,-0.326656,-0.465255,0.526731,3.02122,-0.500654,-1.78447,7.937166666660556e-05,-0.0030149221666667114,0.0013205083333335255,-0.011859016666667,0.038501850000000004,0.01599271499999988
0.15,-0.32682449500000005,-0.4684849721666667,0.5265833133333335,3.023833333333333,-0.4658362666666667,-1.7713601683333335,-0.326839,-0.466387,0.526787,3.02122,-0.494359,-1.77504,1.450499999994248e-05,-0.002097972166666684,-0.0002036866666664805,0.0026133333333331343,0.028522733333333272,0.003679831666666411
