ax,ay,az,arx,ary,arz
-0.005576094331862776,-0.0102060622023389,0.011160663002546652,-0.29419478974831,0.10824964207901352,0.3403579081008982
0.0069208971054807705,-0.06689581543282203,0.10802044917806773,-1.2652697170678375,0.8126097276436952,1.1195739315508606
0.035857374714610896,-0.14100333928969816,0.2406211022490759,-2.683335313116368,2.027818514170021,2.1371582459948635
0.08129935425572932,-0.23525325846174505,0.3769965031728165,-4.319017406815987,3.816755090967683,3.3118519703154896
0.13505519866213966,-0.3462720877946975,0.4828204460994605,-5.947428366453854,6.394308215124891,4.3787336079506485
0.1889174245268029,-0.4716606464939518,0.5487497257235159,-7.380520136377461,9.481979718795493,5.118840302099432
0.23921750778879763,-0.6107207218801557,0.5860287827061378,-8.414865228261787,12.254082824419271,5.6508630117884495
0.2884508625097787,-0.7513967216546109,0.6116525444262536,-9.015094913450769,14.193236072002799,6.122295194942813
0.32999291949470355,-0.871387803843731,0.6006436404617823,-9.025403800929752,15.464581492276604,6.498945412099839
0.36350384914433115,-0.9351702997044509,0.5511130867902474,-8.62909523413364,16.282926041528583,6.541408694972408
0.3739745315834452,-0.9216619577768353,0.46991965982651845,-7.914884682295503,16.33380659769854,6.14313027693445
0.35321043356538695,-0.8193834510543136,0.3863999268380851,-6.84038300651279,15.107421459072537,5.218661521527229
0.31116756259404876,-0.6670969626354313,0.3275378420103876,-5.591155057328356,12.733987431029773,4.087581540980032
0.2554134361607182,-0.5114170585604187,0.28561315962838246,-4.320655563318057,9.896386028199572,3.0896755834269065
0.19892560245389546,-0.37175802000576624,0.2512515510756336,-3.2318201957835964,7.406740315935822,2.2445305499420245
0.15043773397891363,-0.256967281601455,0.21139598093093592,-2.348794133422249,5.65099666859083,1.534381185446489
0.11440702232205602,-0.1750762065344562,0.16454283225467475,-1.6431376421722597,4.570266816296737,1.0165925952773103
0.09035639905311915,-0.09639352054035677,0.1251159172953803,-1.0402878279016425,3.573929357090524,0.470115236868482
0.07555746741649833,-0.005215310305455301,0.09857826817242632,-0.4671762071020149,2.313651968933165,-0.20103148007715266
0.06782579980373549,0.08991254886275946,0.08238435687184428,0.10132642295595673,0.7803084263500413,-0.8822026863970214
0.06436951270891325,0.1735944542058927,0.07159891208053276,0.6414644957039224,-0.779904710823784,-1.4152071854136739
0.06291246311410073,0.23560872175668207,0.06592315814433053,1.074137669388354,-2.0970978712966764,-1.7292331313301976
0.06353881881968525,0.27240522619411783,0.06535481318677641,1.352715459241677,-2.965612370312124,-1.8548990742275304
0.06646609653996256,0.28274314682722496,0.06388869107492734,1.5137925532805676,-3.339183146772476,-1.822820184620843
0.07152579196619074,0.2723650908751678,0.058365019110001595,1.6154618061002664,-3.322479071625064,-1.7080679449450142
0.07601492570478863,0.2580080490140991,0.04993870071265698,1.7204846191889056,-3.199096346032796,-1.6380130717981105
0.07734675787443822,0.2519242863592282,0.04270332998397462,1.8517259863340034,-3.2021141834976636,-1.6772892390817167
0.07513530386950004,0.2552003445454178,0.0438135022794644,1.9630910963215216,-3.355842932162753,-1.7995962550281903
0.07064178670932537,0.26519423809157966,0.058892666283109116,1.983751986340232,-3.5302579966342353,-1.9565545474006392
0.06494790201830737,0.2775349344085708,0.08793075670240241,1.88518031551125,-3.6351142581509857,-2.121004205573302
0.05834259058754914,0.2871297459449849,0.125767817443526,1.6947545251976543,-3.640184644580407,-2.2687120938158407
0.05024263251076263,0.29006742944283576,0.1654424772697381,1.4730903790832213,-3.570049643758953,-2.3738242925557556
0.040316864645586724,0.2881204076513047,0.20147746057487476,1.2826282966601554,-3.500689320651983,-2.429873330741034
0.028840878359629646,0.2832324416403856,0.23274070476736453,1.1363206749630064,-3.445512159043524,-2.4361645843511397
0.016345217287855297,0.27758041837545233,0.2602037213978934,1.0198926392324275,-3.3911703607560915,-2.4098479435083076
0.0035576516337249148,0.27276271430882776,0.2848561356437225,0.9227860108020829,-3.332838090394366,-2.36506423999724
-0.009235189485904363,0.2687860323910441,0.3071152513878586,0.8430516864845152,-3.2839816153461503,-2.2999294373055434
-0.022028454308616975,0.2667539507844133,0.32709753676534714,0.7793684226652797,-3.256215335264022,-2.2295796221377238
-0.035025168356597386,0.268201170013377,0.3445542154464655,0.7348248068410578,-3.2588856898675456,-2.1678061140064573
-0.048129827671450735,0.2745548525977549,0.3591367910761913,0.712009315951692,-3.2913944924920266,-2.1257247870891636
-0.06126820930510815,0.2857100620873245,0.37120369257637204,0.708327741069604,-3.363190936683807,-2.1059302359550243
-0.07368709207163965,0.30217393177700175,0.3810688435764005,0.7179776444997926,-3.4617333823247196,-2.1129968654626943
-0.08525364614193676,0.32194734094709493,0.38859016933620993,0.7358226041974177,-3.569152688538818,-2.1331182281938394
-0.09565164397013104,0.3437804547286687,0.39337936672826934,0.7621641249687746,-3.67044501599317,-2.155408420171841
-0.1051726087317858,0.36597057392246285,0.39500461507975704,0.8023317029999181,-3.77823048311303,-2.1663108346324833
-0.11418168144752613,0.3868847177349607,0.3934582434392248,0.8592047326074457,-3.915150555279821,-2.157970909214254
-0.12244926863959649,0.40719840863406803,0.3889998691137304,0.928217587419698,-4.063851302072625,-2.1364223617627704
-0.13007743873215163,0.4265854012960233,0.3810773121167001,1.0115119530499856,-4.214163157243027,-2.104098844247045
-0.13700291684988908,0.44430519917309,0.368941804566657,1.1159341726877279,-4.369715866561179,-2.060027891422871
-0.14240699297931678,0.4608453726824645,0.3515263461058153,1.2477680015015569,-4.520896656186167,-2.0074701651156106
-0.14640495313528976,0.47672623575352135,0.3305589236811397,-6.391814588801435,-4.658223301987606,-1.9509314083274185
-0.1483074416148841,0.49188541449174855,0.3061514091546338,-12.624793104588829,-4.783124015891855,-1.8917223086861599
-0.14833174026478832,0.5051815841178438,0.2789666738249671,-17.651914495244853,-4.88891416714841,-1.8251802530287085
-0.14594158888095354,0.5170967744804079,0.24870106476489745,-21.63660410289346,-4.965868037425084,-1.7576689762117719
-0.14105149717700133,0.5285042247504046,0.21662201520684293,-24.727089073169843,-5.005744347157806,-1.6917374709685737
-0.13478087760734186,0.5382933577678644,0.18475267605523174,-27.06019018019872,-5.00129187393674,-1.6177960026430882
