vx,vy,vz,vrx,vry,vrz
-0.005687148369163221,-0.04517559367098067,-0.0438729050539718,0.7115835189846507,0.3837700675569976,-0.14007483531348747
-0.008618081154212415,-0.0320898305054209,-0.07081218471826356,0.9422385494636278,-0.0554489393596278,-0.24968137345419628
-0.010855991982130973,-0.018441256951128332,-0.09759882901065722,1.1336908709839713,-0.2614003068877113,-0.3949656465531077
-0.012459533185221819,-0.009401292960500518,-0.11288073627259121,1.2167634453001437,-0.29727257154662945,-0.46226117720001675
-0.013749453124860757,-0.00983493789101593,-0.11104780305190746,1.166293810206202,-0.2444243012295733,-0.4151764726770122
-0.013483042364096013,-0.020140020218099255,-0.09427903203797608,0.9931070871612502,-0.1326130989236261,-0.26102800943441806
-0.01038632013255184,-0.034778956237156565,-0.06937158975916558,0.7403598661080701,0.04896396921649537,-0.056479846093787645
-0.004435453248092221,-0.050838676325492396,-0.04083050598220688,0.43330114239869444,0.3075705733586622,0.1673875970288098
0.003986042130243199,-0.06941569004270032,-0.013340649591032407,0.10696591084672158,0.649369402913035,0.40525140023902684
0.013759566470793488,-0.09072251159157557,0.009514477357583852,-0.22003012276648137,1.1166426648173737,0.6275226972440286
0.02406135203678392,-0.11523549814004805,0.02741486564486761,-0.5333515742947306,1.6847357274568875,0.8111179371897833
0.03463622693907245,-0.1436273426077992,0.04206323868993221,-0.8090599489176377,2.2520435693072027,0.974970438355308
0.04597155500268964,-0.1748030995886914,0.05565371417683086,-1.0388826461017253,2.7457039103153744,1.1395077243767175
0.057142442227174295,-0.20570690011690332,0.06416022692365606,-1.19069426981059,3.1769885539016913,1.2992353322520356
0.06796001475336651,-0.2303508843969812,0.06630937139358771,-1.2782053480982796,3.5645722537350157,1.4142805052414889
0.07574874806718039,-0.2437017524801429,0.062070658291910843,-1.3039340417828522,3.844332930121488,1.457449614601446
0.0783940735965117,-0.24139299237968959,0.055475351564967024,-1.250232429062737,3.9046862956056376,1.400133866320874
0.07668173319073694,-0.22752476049127782,0.05127774255178068,-1.1384649726317584,3.727497681380027,1.2826859707614708
0.0713216445268257,-0.20919617315267644,0.048808003186644924,-0.991348592827366,3.4029952945542776,1.1620658736095444
0.06440082878448194,-0.19008542015585217,0.04677039188642007,-0.8479214235527971,3.0753020324418054,1.046338583008795
0.057687369059693495,-0.17254013799413687,0.04271534389948104,-0.7191618531538082,2.835625862192527,0.936878098470108
0.05241364194575115,-0.15913930801780718,0.03611971272708883,-0.6059257884518048,2.696456037974074,0.8506417274312139
0.048904352356547894,-0.14433636590758822,0.02998144281309945,-0.49754113054939025,2.548256530299719,0.7445036358970337
0.04693981120479343,-0.1245509119684752,0.025841245266698218,-0.3804290411785075,2.3121484450414256,0.5948692047622006
0.04631388154811268,-0.10141919870367036,0.02353338898055478,-0.24946798160611855,1.9764387207449627,0.4252560883439731
0.04656961623298558,-0.0787015698342048,0.0221734804132935,-0.1108214276820701,1.593785038748897,0.27540498385329093
